data;horario;uf;br;trecho;km;sentido;veiculo;fim_percurso;;;;;
20/07/2020;10:56:42;BA;349;349BA899383;906000;C;IZV-6C04;percurso;2000;2000;;;
20/07/2020;10:56:42;BA;349;349BA899383;907000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;914000;C;IZV-6C04;percurso;7000;7000;;;
20/07/2020;10:56:42;BA;349;349BA899383;915000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;924000;C;IZV-6C04;percurso;9000;9000;;;
20/07/2020;10:56:42;BA;349;349BA899383;925000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;935000;C;IZV-6C04;percurso;10000;10000;;;
20/07/2020;10:56:42;BA;349;349BA899383;943000;C;IZV-6C04;percurso;8000;8000;;;
20/07/2020;10:56:42;BA;349;349BA899383;944000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;952000;C;IZV-6C04;percurso;8000;8000;;;
20/07/2020;10:56:42;BA;349;349BA899383;953000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;962000;C;IZV-6C04;percurso;9000;9000;;;
20/07/2020;10:56:42;BA;349;349BA899383;963000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;971000;C;IZV-6C04;percurso;8000;8000;;;
20/07/2020;10:56:42;BA;349;349BA899383;972000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;973000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;10:56:42;BA;349;349BA899383;981000;C;IZV-6C04;percurso;8000;8000;;;
20/07/2020;12:39:07;BA;349;349BA985632;989000;C;IZV-6C04;percurso;8000;8000;;;
20/07/2020;12:39:07;BA;349;349BA985632;990000;C;IZV-6C04;percurso;1000;1000;;;
20/07/2020;12:39:07;BA;349;349BA985632;998000;C;IZV-6C04;percurso;8000;8000;;;
20/07/2020;12:39:07;BA;349;349BA985632;999000;C;IZV-6C04;percurso;1000;1000;;;
